theta_H,phi_H,theta_V,phi_V,R,G,B
0.970277,4.585133,0.814629,3.606148,0.278564,0.272710,0.258074
0.027244,5.384684,0.494494,4.373449,3.783780,3.704123,3.504980
0.152784,1.774875,0.554110,2.025668,2.030746,1.987993,1.881112
0.832011,1.818672,0.951786,1.202243,0.034688,0.033957,0.032132
0.078107,1.233778,0.744989,6.069599,4.125085,4.038351,3.821516
0.202563,1.424037,0.908091,3.882836,6.548104,6.415775,6.084952
0.049525,5.367027,0.631711,3.739030,3.081535,3.016680,2.854543
0.110542,4.809557,1.159221,1.389578,22.153444,21.768614,20.806534
0.464410,1.534945,1.081784,1.545248,1.556956,1.524186,1.442259
1.003012,1.250638,1.126689,1.221764,0.011026,0.010794,0.010214
0.691355,4.558663,0.789697,3.765463,0.172131,0.168507,0.159448
0.288251,4.857115,0.548616,5.963178,1.198251,1.173025,1.109961
0.694891,3.892028,0.982494,4.240288,0.000916,0.000897,0.000849
0.534462,1.192978,0.290081,1.591251,0.020815,0.020377,0.019282
0.553868,1.289045,0.954014,3.204581,0.620290,0.608854,0.580264
0.277564,4.798240,0.751771,0.186357,3.306345,3.236969,3.063530
0.433313,0.788745,0.150574,1.509937,0.003919,0.003837,0.003631
0.398882,0.819342,0.831849,1.903776,0.008594,0.008413,0.007961
0.245743,0.061920,0.224706,5.831862,0.006770,0.006627,0.006271
0.063950,3.073585,0.580919,4.167271,0.745228,0.729540,0.690321
0.274612,5.838860,0.324953,2.563066,0.009785,0.009579,0.009064
0.190710,4.232184,0.912347,5.264661,0.457053,0.447466,0.423499
0.543917,0.935373,0.749132,5.830602,0.006437,0.006301,0.005964
0.293755,3.568626,0.463540,3.448639,0.005140,0.005032,0.004761
0.214932,1.210655,0.535070,0.015556,0.423203,0.414293,0.392020
0.071390,2.329058,0.961798,5.773927,3.521916,3.449867,3.269745
0.760981,1.347771,0.994947,1.877649,0.052953,0.051838,0.049051
0.551216,4.592105,0.368349,5.838419,0.451107,0.441611,0.417870
0.759484,4.712346,1.087413,3.291419,3.332580,3.266925,3.102787
0.875483,4.100407,0.896071,3.143576,0.002236,0.002189,0.002072
0.105304,4.753901,1.038870,3.625222,11.060740,10.832756,10.262795
0.146425,1.696538,0.738871,3.378460,4.751749,4.651892,4.402250
0.322786,1.773517,0.860548,1.532597,0.581127,0.568893,0.538310
0.847850,1.125914,1.030517,0.800671,0.004508,0.004413,0.004176
0.068176,1.931666,1.004604,4.478021,8.389771,8.219701,7.794526
0.393617,1.612531,0.832097,1.405614,1.550058,1.517425,1.435844
0.034105,5.500354,1.014833,3.045916,9.680734,9.483291,8.989682
0.322697,1.702616,0.861444,4.969480,5.083473,4.986808,4.745145
0.060849,3.569141,0.993109,4.386537,2.010666,1.968919,1.864551
0.139766,4.967290,0.965031,2.071460,6.304478,6.178592,5.863875
0.727985,2.508946,0.894150,2.428959,0.000510,0.000499,0.000472
0.489025,2.009149,0.407337,1.196043,0.017217,0.016855,0.015948
0.212267,4.730136,0.997814,3.286528,8.401723,8.228186,7.794341
0.758490,4.629975,1.367899,4.348310,0.569273,0.557293,0.527343
0.129681,0.630264,0.563783,1.412281,0.164927,0.161455,0.152775
0.600688,3.031631,1.265873,1.941947,0.001100,0.001077,0.001021
0.248704,5.327808,0.270864,1.031239,0.056066,0.054886,0.051935
0.186372,0.053053,0.678941,2.826952,0.043778,0.042861,0.040569
0.543853,5.471127,1.105462,4.277291,0.005395,0.005284,0.005005
0.051197,5.873834,0.935629,5.562921,2.553728,2.500349,2.366900
0.160439,1.525070,1.186688,1.322488,9.488832,9.294703,8.809377
0.785749,3.220002,0.791005,3.573506,0.000200,0.000196,0.000186
0.634459,5.440229,0.770174,4.188013,0.002953,0.002891,0.002736
0.967174,1.776933,1.040458,1.493306,0.043846,0.042923,0.040615
0.223243,1.304746,0.890276,4.687908,2.471460,2.422266,2.299283
0.634167,2.386682,1.006052,1.681449,0.001440,0.001410,0.001334
0.578489,0.610955,1.051480,1.201056,0.001208,0.001183,0.001119
0.488944,5.717978,1.044703,4.872136,0.002160,0.002114,0.002001
0.583028,1.160498,0.961040,1.009006,0.013799,0.013509,0.012782
0.189608,4.747291,0.504270,2.396529,4.176145,4.088259,3.868544
0.282796,4.668620,0.642443,5.063758,2.211531,2.164973,2.048577
0.281524,1.068001,0.126276,0.240862,0.059562,0.058308,0.055173
0.145718,4.522181,0.607489,0.794500,3.421728,3.349776,3.169896
0.027844,1.537668,0.577783,3.314404,5.376410,5.263237,4.980305
0.727393,1.726461,0.297181,2.530354,0.174436,0.170764,0.161584
0.585369,1.692621,1.269127,1.826680,0.517875,0.506980,0.479741
0.613436,2.025438,0.999076,1.494861,0.009524,0.009324,0.008822
0.751246,1.429712,0.788753,6.269167,0.443689,0.434482,0.411465
0.520782,1.419426,0.221222,5.588593,0.406645,0.398088,0.376695
0.042170,4.073256,0.836472,0.500364,5.667353,5.548789,5.252377
0.244685,4.604280,0.648260,4.701763,1.888987,1.849219,1.749799
0.534867,0.284127,0.468874,5.917963,0.000601,0.000588,0.000556
0.072304,0.680128,0.947726,0.075941,1.862775,1.823843,1.726515
0.109035,4.811695,0.105612,4.496056,3.116468,3.050858,2.886833
0.266837,1.567806,0.845475,2.338233,3.524953,3.450783,3.265356
0.445583,2.165829,0.712235,3.582645,0.013375,0.013094,0.012391
0.886396,5.845443,1.109727,5.860827,0.000266,0.000260,0.000246
0.084993,5.521840,0.693201,3.278063,1.114294,1.090869,1.032306
0.182354,2.153764,0.298852,1.634584,0.154146,0.150901,0.142788
0.317592,4.945015,0.642820,1.333481,0.891160,0.872618,0.826263
0.089069,2.453510,1.181775,2.019585,1.820707,1.784357,1.693482
0.269166,1.876678,0.566935,4.744452,0.561129,0.549361,0.519939
0.275535,5.076294,0.989131,4.436836,0.298234,0.291968,0.276305
0.045184,5.428251,0.511111,4.258518,2.612265,2.557271,2.419787
0.043187,2.924457,0.750844,2.372082,2.204257,2.157894,2.041987
0.299703,1.325254,1.203241,2.018480,1.022751,1.001613,0.948769
0.147745,3.396119,0.354739,5.170918,0.055042,0.053883,0.050986
0.059152,5.127748,0.674999,3.335342,4.124695,4.037917,3.820971
0.100579,1.194679,0.329689,1.642462,1.597960,1.564318,1.480215
0.174527,4.931505,0.376855,5.931604,1.456629,1.425963,1.349299
0.254074,3.057928,0.979921,2.491614,0.011572,0.011329,0.010721
1.031541,0.233847,1.144140,5.784714,0.000250,0.000244,0.000231
0.273454,4.844452,0.475859,2.198446,2.024214,1.981645,1.875224
0.426253,2.225770,0.791812,2.124009,0.007273,0.007120,0.006737
0.179143,2.128746,0.684455,0.798280,0.282466,0.276522,0.261662
0.519486,3.277452,1.231466,3.194021,0.001212,0.001187,0.001123
0.290563,2.240256,0.629511,2.856838,0.025733,0.025191,0.023837
0.606904,4.830682,0.973095,4.014655,0.434251,0.425114,0.402269
0.829597,3.777474,0.787023,3.029752,0.000517,0.000506,0.000479
0.696809,1.986526,0.624915,1.663833,0.007368,0.007213,0.006825
0.220112,4.728168,0.766958,4.156492,3.599349,3.523584,3.334173
1.030247,5.937726,0.835141,0.215593,0.000275,0.000269,0.000255
0.265085,6.094245,1.071797,6.012343,0.012112,0.011857,0.011222
0.317866,4.636339,0.781252,4.021531,1.893694,1.853830,1.754168
0.334639,5.063886,0.736493,0.448054,0.202081,0.197842,0.187245
0.131332,1.090569,0.625091,1.553909,0.770631,0.754408,0.713850
0.456909,0.480039,0.895871,0.713797,0.001542,0.001510,0.001429
0.160307,2.399976,0.395727,3.572429,0.101505,0.099368,0.094026
0.965495,5.466214,0.663995,5.269576,0.000848,0.000830,0.000785
0.563870,2.400454,0.858236,2.208306,0.001448,0.001418,0.001341
0.119310,1.384821,0.397772,3.790326,3.051557,2.987315,2.826711
0.124916,2.490908,0.500526,1.036722,0.200805,0.196577,0.186009
0.425849,5.169929,0.759903,0.211177,0.036464,0.035698,0.033781
0.201941,1.521699,0.858501,3.452209,7.175224,7.026080,6.653218
0.211888,1.670761,1.471450,2.798743,52.247566,51.552212,49.813828
0.363889,4.694282,0.583341,4.359489,1.626155,1.591920,1.506333
0.259861,1.032541,0.640795,1.856947,0.076877,0.075259,0.071213
0.061849,1.988241,1.366561,5.807003,65.122345,64.358368,62.448433
0.358975,3.872704,0.442742,4.134796,0.005339,0.005227,0.004946
0.211877,4.672968,0.439218,2.256186,3.642649,3.565978,3.374300
0.480502,4.720257,0.878595,4.997275,1.280236,1.253284,1.185904
0.035938,0.745643,0.943521,3.905047,6.871948,6.729857,6.374631
0.890221,4.834993,0.503563,4.447761,0.203985,0.199691,0.188955
0.053734,0.498279,0.454209,0.619496,1.243948,1.217760,1.152289
0.183469,1.882255,0.614062,3.832224,1.118327,1.094801,1.035987
0.179081,4.876026,0.605262,0.839267,3.010555,2.947246,2.788972
0.060065,1.143862,0.366498,4.232860,2.836640,2.776921,2.627625
0.085147,1.067636,0.886368,5.167518,3.366063,3.296041,3.120985
0.270160,4.673236,1.031020,6.241814,8.185716,8.019285,7.603208
0.143851,4.720385,0.688068,0.085952,5.444941,5.330412,5.044090
0.598134,2.442732,0.983992,1.669238,0.001441,0.001411,0.001335
0.142494,1.645033,0.507253,5.811580,4.191005,4.102787,3.882241
0.031908,5.351348,0.503402,5.155416,3.560059,3.485112,3.297744
0.370116,1.565517,0.943222,0.079909,4.597638,4.502302,4.263962
0.176592,5.185864,0.581707,1.887553,0.518713,0.507810,0.480553
1.255826,0.316143,1.352161,0.420835,0.000359,0.000352,0.000333
0.618765,0.534265,0.650670,0.352736,0.000560,0.000549,0.000519
0.163000,4.348474,0.427345,0.538400,0.895727,0.876871,0.829732
0.587711,4.316613,0.444325,3.718149,0.013926,0.013633,0.012900
0.102791,4.521137,0.253037,3.446150,2.763137,2.704966,2.559537
0.423038,0.386404,1.025547,6.041492,0.002401,0.002351,0.002224
0.257343,0.181745,1.114945,0.390885,0.015100,0.014784,0.013993
0.560765,3.224407,0.615478,3.248269,0.000414,0.000405,0.000383
0.489446,1.705870,0.692996,0.142146,0.764476,0.748438,0.708342
0.071737,4.638034,0.844846,0.158932,8.297049,8.123343,7.689078
0.387023,2.137137,0.284483,2.763680,0.014329,0.014027,0.013273
0.314671,0.776018,0.895364,0.553126,0.014517,0.014212,0.013448
0.419051,2.805325,0.506893,3.297818,0.001324,0.001296,0.001226
0.181873,4.737476,1.322564,5.879038,26.680780,26.207804,25.025362
0.314759,1.615296,0.604522,4.444777,4.259868,4.170985,3.948780
0.512074,4.700852,0.390620,2.812342,1.776587,1.739225,1.645821
0.054853,4.508172,0.435639,2.793449,4.096659,4.010415,3.794803
0.970772,1.930885,0.499166,2.233670,0.011709,0.011463,0.010847
0.289839,1.635378,0.875253,3.164835,4.280265,4.190876,3.967400
0.588276,1.863301,0.896692,2.806897,0.054658,0.053508,0.050633
0.106405,2.104403,1.098957,2.449401,2.536505,2.484249,2.353610
0.035359,4.600168,1.214633,0.537083,29.453791,28.922237,27.593351
0.118373,1.858019,0.956999,5.463175,6.357299,6.228526,5.906593
0.355606,4.767784,0.848972,3.318278,3.164105,3.097855,2.932230
0.289849,4.799933,0.585619,5.935252,1.945006,1.904061,1.801697
0.263213,1.216382,0.853034,1.227535,0.277573,0.271730,0.257123
0.111132,4.520827,1.005748,0.576887,10.569943,10.357466,9.826274
0.585773,4.784168,0.722223,5.171718,0.546718,0.535208,0.506434
0.250396,1.644917,0.595413,0.374988,2.660573,2.604567,2.464550
0.196677,0.353163,0.317756,4.679765,0.022592,0.022116,0.020927
0.531827,0.216962,1.088408,0.636304,0.000846,0.000828,0.000783
0.112759,3.614956,1.041518,2.626793,0.471933,0.462179,0.437796
0.510975,4.696856,1.141720,4.017264,1.933463,1.892848,1.791311
0.115902,4.733279,0.590715,0.684241,5.273392,5.162427,4.885013
0.162413,1.415291,0.190583,4.446411,2.277258,2.229316,2.109460
0.367671,1.751074,0.558165,1.949821,0.409076,0.400463,0.378933
0.485569,5.184394,0.305493,5.076209,0.012508,0.012245,0.011587
0.616676,6.122611,0.291186,5.814384,0.000398,0.000390,0.000369
0.489845,1.267621,1.095207,1.742452,0.081162,0.079454,0.075185
0.037701,1.245116,1.161537,2.698816,19.346529,18.971973,18.035585
0.222576,1.730420,0.733236,2.829426,2.084460,2.040595,1.930932
0.843480,6.125354,1.340192,5.002040,0.000551,0.000540,0.000512
0.206514,4.761837,1.102190,1.616180,22.481699,22.118334,21.209917
0.146388,4.695553,0.907672,5.426542,6.226091,6.095382,5.768610
0.636740,4.778297,1.183615,3.416342,2.708200,2.655188,2.522657
0.335491,4.395415,0.785927,4.170791,0.161988,0.158578,0.150052
0.053348,1.708829,0.507107,5.250955,4.787292,4.686515,4.434574
0.642281,1.497549,0.031188,5.756360,0.772544,0.756286,0.715643
0.854146,3.122173,1.075026,2.611816,0.000210,0.000205,0.000194
0.136838,2.007164,0.578374,0.754975,0.905521,0.886459,0.838803
0.250767,4.695254,0.559709,1.343010,4.543044,4.447680,4.209269
0.165625,1.412774,0.066870,2.372697,1.992834,1.950880,1.845994
0.145124,1.624126,0.554278,4.766207,4.902919,4.799778,4.541923
0.289628,1.638104,1.278905,0.282449,14.485498,14.222261,13.564168
0.443545,1.582442,0.669416,0.141481,2.129147,2.084376,1.972448
0.243072,1.721725,0.835472,2.581624,2.047409,2.004337,1.896655
0.626742,1.893997,0.881863,1.139074,0.028468,0.027869,0.026371
0.062211,3.580765,0.708493,1.843871,1.236942,1.210927,1.145890
0.566600,2.297930,0.565203,2.946429,0.002105,0.002061,0.001950
1.099237,3.546147,1.308253,3.537458,0.000292,0.000286,0.000270
0.392207,1.623722,0.411959,1.140422,1.217718,1.192081,1.127991
0.729908,4.373149,1.177429,4.785216,0.018094,0.017714,0.016761
0.278157,0.406672,0.575413,1.154800,0.006858,0.006714,0.006353
0.298763,4.790424,0.752685,1.435465,5.419333,5.308956,5.033014
0.483779,1.668666,0.215228,3.537228,0.800748,0.783893,0.741753
0.468732,4.208741,0.894690,4.810612,0.014855,0.014542,0.013760
0.274084,1.322385,1.225751,1.616401,1.181918,1.157423,1.096186
0.259692,4.044044,0.257302,4.339464,0.031667,0.031000,0.029333
0.051225,1.072143,0.936721,6.243167,6.510048,6.374296,6.034918
0.291225,1.874034,0.586423,4.562245,0.488469,0.478239,0.452662
0.175097,4.352586,0.679285,5.414313,0.818901,0.801664,0.758573
0.907223,4.595239,1.416800,3.346330,1.401505,1.375841,1.311684
0.502600,5.891139,0.730876,1.141057,0.001604,0.001570,0.001486
0.227783,6.038371,0.476698,1.668190,0.013873,0.013581,0.012851
0.331695,1.320574,0.436274,0.450283,0.276132,0.270319,0.255786
0.620433,4.811332,0.144121,4.413169,0.453384,0.443840,0.419978
0.112423,4.818728,0.221460,2.939951,3.277696,3.208692,3.036182
0.541744,0.790530,1.110035,0.716082,0.002719,0.002662,0.002519
0.841974,1.556915,0.630477,1.637512,0.533871,0.522631,0.494533
0.366025,0.957013,0.631288,1.742352,0.015400,0.015076,0.014266
0.829956,0.596420,1.266299,0.603729,0.000536,0.000525,0.000497
0.219687,0.215369,0.586169,0.848951,0.012996,0.012722,0.012038
0.122024,4.948802,0.193100,3.665714,2.039161,1.996231,1.888907
0.515109,1.601978,0.515789,4.403078,3.457469,3.386473,3.208983
0.363882,0.652962,0.256861,1.857353,0.004528,0.004433,0.004194
0.523021,1.425438,0.587058,1.397036,0.258277,0.252840,0.239246
0.854024,5.153592,1.003587,4.801675,0.004459,0.004365,0.004130
0.059423,1.269015,0.748602,0.507321,4.978186,4.873468,4.611675
0.901140,5.180249,1.316840,4.792196,0.004553,0.004457,0.004217
0.477685,1.121345,0.711804,0.978493,0.015924,0.015589,0.014751
1.079069,0.666562,1.230089,1.064766,0.000462,0.000452,0.000428
0.438169,1.437389,1.107626,0.731388,0.956290,0.936215,0.886027
0.561224,1.430384,0.647241,5.998330,0.623525,0.610495,0.577920
0.469074,3.841203,0.228123,2.479262,0.002502,0.002449,0.002317
0.108884,1.213008,0.675407,0.996839,1.985516,1.943720,1.839230
0.131326,1.829777,0.570883,2.529210,2.065854,2.022363,1.913636
0.730366,2.435148,0.570510,3.276261,0.000811,0.000794,0.000752
0.560766,2.856892,0.418456,2.619393,0.000496,0.000486,0.000460
0.496225,1.613593,0.932964,1.226378,1.138668,1.114696,1.054768
0.160325,1.559901,0.291135,1.271635,3.065750,3.001208,2.839852
0.123788,3.492130,0.360644,5.007519,0.108087,0.105812,0.100123
0.112387,1.934145,0.406702,1.202172,1.485306,1.454036,1.375862
0.109543,1.439678,0.892827,5.379228,8.346581,8.173775,7.741760
0.428788,5.317891,0.473102,6.127593,0.008848,0.008662,0.008196
0.129272,4.819246,1.132375,0.277261,16.940928,16.613070,15.793419
0.192804,1.649331,0.932673,3.274963,7.089258,6.942156,6.574402
1.007957,2.402592,1.159707,2.554684,0.000530,0.000519,0.000491
0.124746,1.231049,1.381714,2.148518,11.795860,11.604566,11.126328
1.324595,0.688044,1.241723,1.479534,0.004243,0.004154,0.003931
0.814810,1.570996,0.649150,2.344884,0.738183,0.722643,0.683794
0.044260,0.898972,0.745210,0.273147,3.828645,3.748112,3.546778
0.019375,2.887860,0.222373,2.017662,3.030394,2.966596,2.807102
0.246626,1.410716,0.611633,2.305466,1.405759,1.376165,1.302180
0.242492,1.603243,0.852714,4.909082,9.232606,9.047582,8.585020
0.078841,1.328400,0.730414,1.617823,4.207984,4.119430,3.898046
0.156206,4.986506,0.247024,4.569917,1.176971,1.152193,1.090247
0.531882,5.803677,0.681309,5.019237,0.000918,0.000899,0.000851
0.014994,0.905661,0.705462,3.419540,6.185013,6.054927,5.729713
0.448799,4.990785,0.552486,5.638391,0.088354,0.086494,0.081844
0.115344,1.094484,0.482106,3.116380,1.111691,1.088288,1.029782
0.174632,1.615337,1.423140,2.646868,43.071281,42.414177,40.771427
0.585323,4.885271,0.851851,4.647427,0.154445,0.151193,0.143064
0.725344,4.576137,0.471085,4.385293,0.166650,0.163142,0.154371
0.390061,1.919298,1.373051,3.469156,1.298315,1.280862,1.237232
0.605723,1.943020,1.437350,1.445610,0.041584,0.040717,0.038551
0.194697,4.375721,0.716000,2.713372,0.915166,0.895929,0.847837
0.151576,4.529382,0.560513,1.030928,3.200544,3.133218,2.964904
0.046473,1.142317,0.373598,1.491542,3.127591,3.061748,2.897137
0.376371,5.905635,0.089340,4.535432,0.002253,0.002206,0.002087
0.141521,1.855856,0.260905,2.860699,1.359718,1.331092,1.259528
0.823860,0.994181,0.870362,0.455647,0.002016,0.001974,0.001868
0.056662,3.365287,0.643885,2.099207,1.140715,1.116707,1.056685
0.647037,4.860519,0.266156,4.771365,0.190220,0.186216,0.176204
0.211621,2.057341,0.500740,1.617426,0.171980,0.168359,0.159308
0.236844,4.651740,1.000730,0.909485,13.555636,13.301916,12.667615
0.634948,5.931929,1.016553,5.748985,0.000469,0.000459,0.000434
0.308771,4.990832,0.483595,3.305954,0.339959,0.332803,0.314913
0.240948,4.356803,0.749150,1.058298,0.771001,0.755082,0.715285
0.144807,6.231916,0.654397,5.937926,0.059320,0.058071,0.054949
0.736000,3.173218,1.475136,2.661465,0.000857,0.000839,0.000794
0.761152,4.435596,0.702307,3.944283,0.024773,0.024252,0.022948
0.327948,5.134300,1.306365,5.998473,0.332590,0.325961,0.309387
0.039870,1.877739,0.912372,2.114528,7.502201,7.345236,6.952826
0.858474,0.193146,0.646324,5.445804,0.000369,0.000361,0.000342
0.190487,1.461527,0.290919,4.788545,2.660832,2.604816,2.464775
0.266962,4.311134,1.316502,4.868603,0.528421,0.517836,0.491374
0.321041,4.776715,1.042890,3.226415,6.286214,6.158980,5.840894
0.904832,2.917557,1.287181,2.872792,0.000270,0.000265,0.000250
0.092423,1.753734,0.553830,5.443483,4.292885,4.202535,3.976660
0.051199,4.473625,0.895336,5.923138,8.226300,8.054391,7.624618
0.252158,4.700051,0.185898,1.663380,2.739357,2.681687,2.537511
0.529843,4.926098,0.507471,2.055662,0.463187,0.453704,0.429996
0.138884,0.947817,0.521800,1.484176,0.334838,0.327789,0.310166
0.563950,5.179491,0.999778,5.249139,0.010322,0.010104,0.009561
0.631936,3.134358,0.868369,2.748454,0.000338,0.000331,0.000313
0.553437,0.195272,0.997875,6.211093,0.000625,0.000612,0.000579
0.188880,4.733781,1.197446,0.571768,31.082981,30.572933,29.297812
0.576147,3.841954,1.264796,3.679457,0.002312,0.002263,0.002142
0.615820,1.259360,0.941658,2.762009,0.107354,0.105160,0.099674
0.794395,4.799528,1.556665,4.949224,0.704053,0.689260,0.652278
0.621363,5.154730,0.480693,5.251414,0.007671,0.007510,0.007106
0.227594,4.626816,1.051761,1.258837,16.076029,15.800228,15.110728
0.744142,2.058577,0.749466,2.446130,0.003822,0.003742,0.003541
0.484099,5.635433,0.513053,3.986202,0.002925,0.002863,0.002710
0.714235,4.723766,0.682101,4.856884,0.588553,0.576163,0.545186
0.340635,1.734242,1.141326,2.790394,1.935771,1.895882,1.796159
0.950542,4.789020,1.052968,6.025337,1.099271,1.076749,1.020446
0.374910,1.776199,0.746782,4.140768,1.052831,1.031355,0.977663
0.087687,1.732065,0.953755,2.171181,6.945454,6.800150,6.436893
0.572866,2.545336,0.897798,1.416504,0.001504,0.001473,0.001394
0.278367,1.566285,0.976509,4.970089,15.334016,15.060774,14.377670
0.468260,1.374142,0.584259,0.241251,0.243913,0.238778,0.225942
0.063442,2.164882,1.080061,3.816979,6.810893,6.674058,6.331970
0.260324,4.560341,0.575292,5.762657,1.432045,1.401898,1.326532
0.157254,4.694696,1.192152,5.688471,14.320624,14.035881,13.324020
0.283935,1.571912,0.765740,3.946982,6.407402,6.275065,5.944222
0.044114,4.095979,1.098564,4.000970,8.591818,8.417272,7.980906
1.124021,1.699834,1.041121,1.753318,0.142039,0.139048,0.131573
0.746258,3.162934,1.004168,4.042684,0.000323,0.000316,0.000299
0.082558,1.285386,0.044806,0.552941,2.449994,2.398415,2.269468
0.168408,4.606997,0.766870,5.135979,3.576992,3.501706,3.313492
0.358232,2.275362,0.502969,1.831375,0.009351,0.009154,0.008662
0.652087,2.873752,0.732107,3.275929,0.000335,0.000328,0.000311
0.581678,1.372531,1.010080,2.181712,0.172279,0.168655,0.159594
0.076600,1.649546,0.058243,5.379435,3.534722,3.460307,3.274269
0.753213,2.378463,0.912956,1.959063,0.000774,0.000758,0.000717
0.110055,6.259602,0.678708,5.761091,0.161543,0.158143,0.149641
0.152009,4.662270,0.641960,5.498738,4.033365,3.948459,3.736192
0.404089,0.940792,1.260059,1.216346,0.020989,0.020550,0.019453
0.352096,1.768803,0.585627,0.097919,0.625537,0.612378,0.579481
0.024946,4.867819,1.216818,5.635175,24.038649,23.587980,22.461304
0.339884,4.743956,0.889833,4.664541,2.192594,2.146438,2.031047
0.350569,4.705057,0.508412,2.870677,2.674721,2.618444,2.477751
0.174571,1.517017,1.090790,0.651686,8.570529,8.393420,7.950650
0.138714,1.546647,1.223236,1.300663,12.157651,11.913656,11.303670
0.572009,1.312524,0.404100,4.239117,0.198340,0.194232,0.183964
0.088708,1.769893,0.227280,0.643750,2.940653,2.878745,2.723973
1.113104,0.968554,1.310854,0.943676,0.001581,0.001547,0.001464
0.182410,4.361217,0.382229,6.282884,0.673777,0.659593,0.624131
0.356269,1.628215,0.814424,6.098827,3.935541,3.853794,3.649425
0.401320,1.470098,0.415939,6.126677,1.094886,1.071839,1.014221
0.091679,2.426775,0.621395,1.032936,0.647623,0.633992,0.599913
0.457447,1.755291,1.404151,2.910069,2.374767,2.332102,2.225437
0.244579,4.339860,0.941641,5.887230,0.629266,0.616211,0.583571
0.102290,4.828344,0.938374,3.094648,9.356733,9.162634,8.677386
0.132788,6.180172,0.272381,3.870511,0.070734,0.069245,0.065522
0.284179,3.512034,0.574106,6.032004,0.011912,0.011663,0.011038
0.612378,2.949452,1.049274,1.669264,0.000934,0.000915,0.000867
0.194762,4.746561,0.261619,1.664037,3.255369,3.186836,3.015502
0.122432,1.561441,1.073029,2.672520,11.753339,11.512424,10.910140
0.463088,2.514754,0.241831,3.888363,0.002098,0.002054,0.001943
0.299685,1.596607,0.530235,2.125653,2.063467,2.020025,1.911422
0.018667,4.813669,0.868603,3.454123,8.831626,8.646743,8.184535
0.121936,1.870601,0.517539,4.343222,2.217603,2.170927,2.054237
0.958221,4.754321,0.929188,4.244164,0.482245,0.472092,0.446711
1.072193,1.188148,1.161570,0.483285,0.009214,0.009020,0.008536
0.376496,1.647869,0.581842,3.244838,1.764817,1.727687,1.634863
0.674084,0.450655,1.147727,1.391297,0.000773,0.000757,0.000717
0.130124,4.894778,1.014441,4.163003,5.674067,5.555812,5.260175
0.218364,4.795096,0.782548,3.391563,4.067274,3.981809,3.768146
0.030067,2.257561,0.753893,5.328738,5.447552,5.333123,5.047048
0.250771,4.741072,1.116501,3.663001,7.750148,7.590898,7.192770
0.053370,2.986483,0.388072,1.774743,0.970929,0.950488,0.899387
0.093014,4.724155,0.600628,0.919890,5.542109,5.425496,5.133964
0.209738,2.959033,0.574433,6.193096,0.026124,0.025575,0.024203
0.808098,0.991584,1.153450,0.380954,0.002815,0.002755,0.002607
0.232569,4.889510,1.383313,3.039860,80.818031,80.041100,78.098778
0.138071,0.234355,0.866594,5.173645,0.120529,0.118003,0.111687
0.128914,4.965168,0.331613,1.433841,2.094472,2.050379,1.940144
0.517747,5.074031,0.583626,5.173845,0.023934,0.023430,0.022171
0.067125,1.651976,1.020061,5.025942,13.289725,13.022639,12.354924
0.373079,1.583420,0.164577,3.118038,1.750868,1.714008,1.621857
0.280840,2.384495,0.545971,2.061133,0.014680,0.014371,0.013598
0.359249,4.317948,0.326412,0.933530,0.092578,0.090630,0.085760
0.129689,1.461733,0.306430,3.058002,3.164533,3.097912,2.931357
0.196028,1.472257,0.416770,1.488207,2.272468,2.224627,2.105023
0.408627,1.298020,0.948426,0.249455,0.228717,0.223915,0.211910
0.055954,1.250159,0.703840,4.403430,5.239010,5.128898,4.853617
0.656384,0.754588,0.576762,0.857009,0.000915,0.000896,0.000847
0.596979,0.353526,1.085953,0.064373,0.000667,0.000653,0.000618
0.219618,1.830976,0.403119,5.189596,0.948653,0.928686,0.878769
0.898151,3.781378,0.928823,4.578230,0.000565,0.000554,0.000524
0.986160,3.054954,1.154161,3.809534,0.000232,0.000227,0.000215
0.345471,1.571275,0.078389,0.481489,1.824597,1.786184,1.690153
0.361976,1.635552,0.659114,2.456738,1.562160,1.529274,1.447056
0.024132,2.283663,0.592376,3.945248,4.457456,4.363629,4.129064
0.837365,5.333328,0.662352,5.890287,0.001598,0.001564,0.001480
0.373245,4.583251,0.836895,0.329042,2.703001,2.647893,2.510123
0.224736,4.840564,0.627208,5.090029,1.879642,1.840071,1.741143
0.013211,4.772071,0.566750,5.074053,5.082305,4.975318,4.707850
0.101626,4.652750,1.117223,0.013664,18.086792,17.730219,16.838785
0.043374,2.419839,0.880442,5.494058,4.800059,4.700056,4.450047
0.256164,4.813895,0.461885,4.342773,1.684178,1.648722,1.560081
0.160248,4.716983,1.153255,0.084160,19.713427,19.335526,18.390770
0.238439,2.558438,0.419261,0.701304,0.019723,0.019307,0.018269
0.777757,1.060532,1.045544,2.046555,0.005741,0.005621,0.005319
0.056564,1.951198,0.809601,2.186746,4.831897,4.730330,4.476415
0.151751,4.702850,0.402745,3.609320,3.502752,3.429010,3.244654
0.623007,2.348308,0.671242,0.986243,0.002684,0.002628,0.002487
0.433631,1.473525,0.232369,2.661822,0.809049,0.792017,0.749435
0.348635,0.371097,0.782728,4.375110,0.009250,0.009061,0.008589
0.243262,1.613047,0.376900,0.399463,2.531276,2.477986,2.344761
0.072496,4.706455,0.466994,0.479653,4.658726,4.560651,4.315463
0.225062,1.717362,1.327814,3.018279,16.660963,16.375151,15.660620
