theta_H,phi_H,theta_V,phi_V,R,G,B
0.159127,5.069430,1.039582,4.291723,1.807178,1.769554,1.675497
0.274222,2.843491,0.932693,3.032814,0.008930,0.008742,0.008272
0.848343,3.218650,1.062636,3.895937,0.000232,0.000227,0.000215
0.366289,4.597863,0.394527,4.482149,0.789662,0.773037,0.731476
0.134380,5.165000,0.491481,6.263489,0.788285,0.771690,0.730201
0.085576,5.062548,1.040949,4.406245,5.583662,5.468105,5.179212
0.873976,5.341681,0.676177,5.854918,0.001458,0.001427,0.001351
0.126503,3.114350,0.401992,1.240183,0.087125,0.085291,0.080706
0.035222,1.843043,0.458119,0.823459,4.225819,4.136855,3.914446
0.358007,1.658352,0.837783,4.817903,6.714028,6.587802,6.272235
0.559270,0.042088,0.905140,0.837209,0.000592,0.000580,0.000549
0.310096,1.541242,0.488993,1.428029,1.848775,1.809854,1.712550
0.654707,1.964436,0.388185,3.721344,0.022745,0.022267,0.021074
0.086839,4.583731,1.124257,2.570159,18.138994,17.789114,16.914406
0.197322,4.798384,0.999697,3.574350,6.526323,6.390683,6.051579
0.587985,1.813008,0.755026,2.008097,0.060459,0.059186,0.056004
0.094183,1.520795,1.252357,2.086800,17.936289,17.592907,16.734457
0.207336,2.416047,0.070814,1.164254,0.036770,0.035996,0.034061
0.271941,1.558638,0.464734,2.518163,2.446061,2.394565,2.265826
0.931616,2.725360,1.262598,2.850300,0.000311,0.000305,0.000288
0.114185,4.695944,0.809766,0.301254,7.579553,7.420753,7.023754
0.534572,4.607644,1.256796,5.843053,2.236096,2.192118,2.082172
0.118459,4.765460,0.642911,2.950658,5.312862,5.201077,4.921612
1.002597,4.801659,0.968906,5.647433,0.404209,0.395706,0.374447
1.235625,2.025792,1.114882,2.041179,0.004700,0.004601,0.004354
0.490876,1.637085,1.237119,2.056222,1.620764,1.586737,1.501667
0.495027,0.854779,0.998857,0.328212,0.004638,0.004540,0.004296
0.535321,3.300736,0.408949,4.720634,0.000784,0.000767,0.000726
0.195423,4.663862,1.072037,3.124748,11.366850,11.137609,10.564504
0.765969,3.322519,1.361408,2.074911,0.000946,0.000928,0.000884
0.542762,0.034669,0.930948,1.391661,0.001085,0.001063,0.001006
0.346721,1.460988,0.288608,1.610297,0.918288,0.898955,0.850624
0.102668,1.573854,0.396417,5.186481,4.326949,4.235857,4.008129
0.300010,4.820535,0.708424,4.451301,1.446303,1.415855,1.339735
0.530947,4.645232,1.010615,3.769386,1.190732,1.165700,1.103119
0.291458,4.857262,0.649830,2.151473,2.444684,2.393737,2.266371
0.969972,1.082738,0.895199,1.420767,0.002885,0.002824,0.002672
0.053625,4.980998,0.402023,0.943039,3.805439,3.725325,3.525041
0.395164,1.689364,0.633820,2.954792,0.982683,0.962000,0.910292
0.332272,4.656507,0.500586,4.776642,1.514146,1.482270,1.402578
0.285121,4.887387,1.109942,4.559986,1.589358,1.556045,1.472765
0.411519,1.506913,1.113090,0.955540,2.050807,2.007725,1.900018
0.481086,5.381271,0.017734,3.261820,0.005352,0.005239,0.004958
0.829983,4.714346,0.128322,4.656234,1.161557,1.137122,1.076035
0.348771,4.877114,0.393433,1.273447,0.922143,0.902750,0.854265
0.179624,4.628687,0.696795,2.488106,4.974070,4.869655,4.608616
0.231272,1.540686,1.053156,1.299128,4.966880,4.862712,4.602294
0.129592,1.418696,0.892934,1.346776,4.535892,4.440566,4.202250
0.690305,1.379294,1.270086,2.044522,0.160299,0.156932,0.148515
0.614318,1.504648,0.791537,0.635363,0.703378,0.688571,0.651556
0.220849,5.081388,0.666164,5.949456,0.394602,0.386295,0.365528
0.255623,1.387862,0.665219,3.182115,1.622862,1.588751,1.503475
0.767643,1.551412,1.348231,0.523269,2.184741,2.140132,2.028608
0.082969,1.566184,1.238197,4.869602,32.132992,31.625538,30.356903
0.470598,3.643743,0.369623,3.281041,0.001183,0.001158,0.001096
0.245614,1.563026,1.119632,5.174307,27.292009,26.881134,25.853947
0.043514,4.470768,0.422214,3.687947,3.991757,3.907721,3.697629
0.403173,1.586019,1.203950,0.808976,3.852374,3.772248,3.571931
0.828444,2.619589,1.040684,2.123892,0.000359,0.000352,0.000333
0.336722,4.491634,0.433940,0.427984,0.541141,0.529756,0.501293
0.812505,1.579821,0.297207,1.518322,0.790762,0.774115,0.732498
0.885079,1.941842,1.231220,1.404867,0.010041,0.009830,0.009301
0.814138,5.812968,0.716267,4.620803,0.000814,0.000797,0.000755
0.004554,3.749689,0.552061,2.669436,5.108248,5.000714,4.731879
0.652368,1.182168,1.321809,2.144337,0.033930,0.033232,0.031488
0.216135,0.104984,0.601750,4.021676,0.020808,0.020371,0.019278
0.293673,4.606881,1.109014,2.359467,13.498899,13.278506,12.727522
0.635363,1.481254,0.800129,1.396816,0.371080,0.363268,0.343737
0.488820,1.530429,0.264249,0.318248,1.137670,1.113719,1.053842
0.315921,4.665893,0.476638,5.541028,1.875542,1.836057,1.737344
0.220951,1.462566,0.350490,4.914296,2.508100,2.455303,2.323310
0.309249,4.938656,0.480868,4.474072,0.397247,0.388884,0.367977
0.499213,4.376946,0.509328,3.767981,0.036376,0.035611,0.033696
0.089599,1.702518,0.500974,2.129254,3.766885,3.687583,3.489326
0.162024,4.709696,0.553794,2.738556,4.557917,4.461988,4.222167
0.114463,4.881605,0.595666,5.383664,3.328155,3.258090,3.082929
0.039141,4.205630,0.638388,0.883763,4.571068,4.474888,4.234437
0.097358,4.614550,1.091497,0.360113,17.420176,17.078505,16.224325
0.441942,3.740892,0.533972,0.947008,0.006631,0.006493,0.006149
0.072366,4.970335,0.684130,0.945478,4.872222,4.769768,4.513632
0.329661,1.617374,0.229448,4.473543,2.146232,2.101052,1.988101
0.088518,1.126112,0.469146,3.063063,1.921397,1.880948,1.779825
0.660433,4.893918,0.783932,4.532062,0.102357,0.100202,0.094815
0.177926,2.447299,0.778950,3.706090,0.097090,0.095048,0.089945
0.638173,4.569813,0.404878,2.273479,0.617812,0.604979,0.572896
0.074134,4.527882,1.097425,4.335789,9.985583,9.781031,9.269647
0.143551,5.883209,0.673550,5.748731,0.082122,0.080393,0.076071
0.336654,0.439077,0.387642,5.115337,0.004088,0.004002,0.003787
0.984697,4.817648,0.801242,4.750394,0.193691,0.189614,0.179419
0.578246,3.675539,1.220079,3.540383,0.001318,0.001290,0.001221
0.973398,5.731972,1.077397,5.386455,0.000309,0.000303,0.000286
0.351382,0.081544,0.022092,2.739799,0.002190,0.002143,0.002028
0.168441,1.381421,0.875011,3.471159,4.994669,4.891180,4.632458
0.278024,1.411826,1.020734,5.853817,4.287557,4.202502,3.989866
0.014915,3.469221,0.350681,5.201869,3.654889,3.577944,3.385581
0.276076,4.813464,1.007510,4.274272,2.742127,2.684519,2.540500
0.129779,4.892214,1.200433,0.736464,19.744328,19.404076,18.553450
0.199782,4.699737,0.838856,6.105101,5.804229,5.682471,5.378075
0.587288,1.152026,0.837996,1.376912,0.011387,0.011147,0.010548
0.197309,3.518857,0.444532,6.037195,0.029329,0.028711,0.027168
0.169953,4.773529,0.974296,5.786346,6.845074,6.702051,6.344494
0.303337,3.853608,0.700031,3.369047,0.011066,0.010833,0.010250
